,result,alpha,beta_1,batch_size,lambda,early_stopping,optimization,decay
0,0.9806250000000001,0.03223491591273968,0.005231719945978501,512,0.5,False,adam,True
1,0.9793750000000001,0.08839201668021412,0.06246747260886657,16,0.5,True,adam,False
2,0.9775,0.012610295899339314,0.03569660190839932,512,0.25,True,momentum,False
3,0.9821875,0.020848002724624365,0.0670553060093745,128,0.75,False,,False
4,0.9784375000000001,0.007846890873914089,0.0227005619065994,256,1.0,False,,True
5,0.97875,0.009670457571213445,0.0019193434929352126,16,0.5,False,rmsprop,True
6,0.9781250000000001,0.04123934506293832,0.07583382282630022,32,1.0,False,,False
7,0.9809375000000001,0.019072075894375207,0.0922741352851832,256,1.0,False,momentum,False
8,0.9793750000000001,0.09982796472088953,0.010306620789728757,1024,1.0,False,,True
9,0.9824999999999999,0.08689858351283075,0.06147939444657586,128,1.0,False,momentum,True
10,0.976875,0.02516249692178007,0.029724920000599148,1024,0.75,False,rmsprop,False
11,0.9856250000000001,0.07027360372456139,0.051467228422425196,256,0.75,False,momentum,False
12,0.9765625000000002,0.058332898245435374,0.07027659396999604,1,0.25,False,momentum,True
13,0.984375,0.03651799791726302,0.007298517580988036,128,0.75,False,rmsprop,True
14,0.9875,0.015086857926473103,0.03616308829531774,1,0.0,True,,True
15,0.9356250000000002,0.06879365893819499,0.015743694496471422,1,1.0,False,momentum,False
16,0.9815624999999999,0.09238957673882285,0.050399981952248665,64,0.5,False,,False
17,0.9846874999999999,0.0549375059595394,0.025696896578098403,256,0.75,False,adam,True
18,0.9781250000000001,0.0410695673802573,0.03435524989567341,16,0.75,True,,False
19,0.8640625,0.00012149479162474588,0.024301402210559625,32,0.0,True,rmsprop,False
20,0.9337500000000001,0.06283922296041247,0.04921457638716018,1,1.0,False,adam,True
21,0.9781250000000001,0.05686464540366491,0.008036306265611595,16,0.5,False,,False
22,0.976875,0.05554795689723458,0.024118614824586482,1024,0.75,False,rmsprop,True
23,0.9862499999999998,0.012693809043587736,0.04487473443814569,64,0.0,False,rmsprop,True
24,0.9859375,0.061509258626668034,0.001520422658849202,256,0.75,True,momentum,False
25,0.9781250000000001,0.049964534040810304,0.048535230292716204,1,0.25,False,rmsprop,True
26,0.9821875,0.0065720473854951455,0.035027397599601495,64,1.0,False,rmsprop,False
27,0.983125,0.007232401539998369,0.0606526221116123,64,0.0,False,adam,False
28,0.9875,0.0911807131139052,0.038336417617701214,32,0.0,True,,True
29,0.9868750000000001,0.08453614519481208,0.04776564320256791,256,0.75,False,rmsprop,True
30,0.9818749999999999,0.0530424610777353,0.04309965987969651,64,0.75,True,,False
31,0.8540625000000001,0.0022146483347473926,0.017701870443123012,512,0.75,False,momentum,False
32,0.9775,0.03375046936273035,0.011162004620333163,512,1.0,False,adam,False
33,0.9800000000000001,0.009533965048684447,0.07416269552378857,64,0.75,False,rmsprop,False
34,0.9815625000000001,0.05050508912946252,0.019946514514983974,512,0.75,False,rmsprop,False
35,0.9831249999999999,0.04436137337124916,0.0879791843247602,32,0.25,False,adam,False
36,0.9875,0.03146778695047672,0.06732030953488714,16,0.0,False,momentum,True
37,0.9806250000000001,0.05024481385423575,0.04575987575813335,1024,0.75,False,rmsprop,True
38,0.9793750000000001,0.007214587154692808,0.06513691088544347,128,0.75,False,momentum,False
39,0.9800000000000001,0.01531408888779778,0.018610928287938512,16,0.25,False,rmsprop,False
40,0.9875,0.040797455270141496,0.08154769710553186,32,0.0,False,rmsprop,False
41,0.9781250000000001,0.03920842198874493,0.016321762565629772,16,1.0,True,momentum,False
42,0.9696875,0.08521231212041001,0.09005254246300147,1,0.25,False,,True
43,0.9875,0.02412095453762756,0.00782397890435919,16,0.0,False,momentum,False
44,0.9793749999999999,0.0745455579925483,0.026325809542262577,64,1.0,False,rmsprop,False
45,0.9828125,0.003831086670336438,0.030878084261263723,32,0.0,False,,True
46,0.9815625000000001,0.042558358331217544,0.07952369575271048,64,1.0,False,rmsprop,False
47,0.9875,0.08233419309390731,0.009884200384597575,256,0.0,False,,False
48,0.9240625,0.0017271078774503102,0.051765151504939405,256,0.75,False,momentum,False
49,0.9875,0.08312265878557422,0.021346998708596767,1,0.0,False,,False
50,0.9828125,0.05627752557908344,0.044070138596139265,32,0.25,False,,True
51,0.983125,0.01922705597263612,0.05849302921361845,128,0.25,False,rmsprop,True
52,0.9806250000000001,0.013451254641245932,0.02403910641873823,256,1.0,False,,False
53,0.9746875000000002,0.016144335030624037,0.09276837570406825,1,0.75,False,adam,True
54,0.9875,0.006547222570432973,0.015687413660414862,16,0.0,False,adam,False
55,0.97875,0.05576650173622495,0.0952750927432729,512,1.0,False,momentum,True
56,0.9871875000000001,0.009411548049846901,0.0929497048291776,16,0.0,False,adam,False
57,0.9846875,0.07045863585177292,0.023191887939623,128,0.75,False,adam,True
58,0.9700000000000001,0.01529261331639392,0.04340635958166591,1024,0.0,False,rmsprop,False
59,0.984375,0.08081075625811523,0.0010081637858652878,512,0.75,False,,False
60,0.9818749999999999,0.08507245029849544,0.04875644214406857,32,0.25,True,momentum,False
61,0.9865625000000001,0.005673636168564041,0.05452630978011842,32,0.0,False,adam,True
62,0.9781250000000001,0.02543320995374806,0.07602837239239929,1,0.25,False,rmsprop,True
63,0.9787500000000001,0.05918369918022124,0.004169281985143897,1024,0.25,False,,True
64,0.9837500000000002,0.05401907305020353,0.027009872079618833,256,1.0,False,rmsprop,False
65,0.9875,0.03049911174347648,0.02679849636070424,16,0.0,False,,True
66,0.9809374999999999,0.04389500890492212,0.0763305271248083,64,0.75,False,rmsprop,True
67,0.9875,0.09745363772925465,0.022855231481349332,16,0.0,True,,False
68,0.97875,0.0326070458943981,0.01575313127634342,1024,1.0,False,,True
69,0.9821875,0.009312815653455975,0.04353175778721506,64,1.0,True,momentum,True
70,0.9815625000000001,0.008909899396435899,0.04222504321933791,128,1.0,False,,False
71,0.9821875,0.05299301671157738,0.06264106758809666,512,0.5,False,,True
72,0.9824999999999999,0.09763498287118681,0.08524876124453637,512,1.0,False,,True
73,0.9809375000000001,0.04507904371430051,0.022882342957236602,512,0.25,True,adam,True
